"prompt","Generic Stable Diffusion","Pure Finetune","Positive","Contrastive","seed"
"Dancers are performing for a crowd, in Nigeria","Nigeria/genericSD/crowd_in_Nigeria22969.png","Nigeria/baseline/crowd_in_Nigeria22969.png","Nigeria/positive/crowd_in_Nigeria22969.png","Nigeria/contrastive/crowd_in_Nigeria22969.png","22969"
"Dancers are performing for a crowd, in Nigeria","Nigeria/genericSD/crowd_in_Nigeria32672.png","Nigeria/baseline/crowd_in_Nigeria32672.png","Nigeria/positive/crowd_in_Nigeria32672.png","Nigeria/contrastive/crowd_in_Nigeria32672.png","32672"
"Dancers are performing for a crowd, in Nigeria","Nigeria/genericSD/crowd_in_Nigeria61771.png","Nigeria/baseline/crowd_in_Nigeria61771.png","Nigeria/positive/crowd_in_Nigeria61771.png","Nigeria/contrastive/crowd_in_Nigeria61771.png","61771"
"Dancers are performing for a crowd, in Nigeria","Nigeria/genericSD/crowd_in_Nigeria74.png","Nigeria/baseline/crowd_in_Nigeria74.png","Nigeria/positive/crowd_in_Nigeria74.png","Nigeria/contrastive/crowd_in_Nigeria74.png","74"
"Family is eating together, in Nigeria","Nigeria/genericSD/eating_together_in_Nigeria144.png","Nigeria/baseline/eating_together_in_Nigeria144.png","Nigeria/positive/eating_together_in_Nigeria144.png","Nigeria/contrastive/eating_together_in_Nigeria144.png","144"
"Family is eating together, in Nigeria","Nigeria/genericSD/eating_together_in_Nigeria32672.png","Nigeria/baseline/eating_together_in_Nigeria32672.png","Nigeria/positive/eating_together_in_Nigeria32672.png","Nigeria/contrastive/eating_together_in_Nigeria32672.png","32672"
"Family is eating together, in Nigeria","Nigeria/genericSD/eating_together_in_Nigeria53105.png","Nigeria/baseline/eating_together_in_Nigeria53105.png","Nigeria/positive/eating_together_in_Nigeria53105.png","Nigeria/contrastive/eating_together_in_Nigeria53105.png","53105"
"Family is eating together, in Nigeria","Nigeria/genericSD/eating_together_in_Nigeria61771.png","Nigeria/baseline/eating_together_in_Nigeria61771.png","Nigeria/positive/eating_together_in_Nigeria61771.png","Nigeria/contrastive/eating_together_in_Nigeria61771.png","61771"
"Family is eating together, in Nigeria","Nigeria/genericSD/eating_together_in_Nigeria74.png","Nigeria/baseline/eating_together_in_Nigeria74.png","Nigeria/positive/eating_together_in_Nigeria74.png","Nigeria/contrastive/eating_together_in_Nigeria74.png","74"
"Family is eating together, in Nigeria","Nigeria/genericSD/eating_together_in_Nigeria7705.png","Nigeria/baseline/eating_together_in_Nigeria7705.png","Nigeria/positive/eating_together_in_Nigeria7705.png","Nigeria/contrastive/eating_together_in_Nigeria7705.png","7705"
"Photo of a house, in Nigeria","Nigeria/genericSD/house_in_Nigeria1239.png","Nigeria/baseline/house_in_Nigeria1239.png","Nigeria/positive/house_in_Nigeria1239.png","Nigeria/contrastive/house_in_Nigeria1239.png","1239"
"Photo of a house, in Nigeria","Nigeria/genericSD/house_in_Nigeria12748.png","Nigeria/baseline/house_in_Nigeria12748.png","Nigeria/positive/house_in_Nigeria12748.png","Nigeria/contrastive/house_in_Nigeria12748.png","12748"
"Photo of a house, in Nigeria","Nigeria/genericSD/house_in_Nigeria2233.png","Nigeria/baseline/house_in_Nigeria2233.png","Nigeria/positive/house_in_Nigeria2233.png","Nigeria/contrastive/house_in_Nigeria2233.png","2233"
"Photo of a house, in Nigeria","Nigeria/genericSD/house_in_Nigeria2759.png","Nigeria/baseline/house_in_Nigeria2759.png","Nigeria/positive/house_in_Nigeria2759.png","Nigeria/contrastive/house_in_Nigeria2759.png","2759"
"Student studying in the classroom, in Nigeria","Nigeria/genericSD/in_the_classroom12.png","Nigeria/baseline/in_the_classroom12.png","Nigeria/positive/in_the_classroom12.png","Nigeria/contrastive/in_the_classroom12.png","12"
"Student studying in the classroom, in Nigeria","Nigeria/genericSD/in_the_classroom15.png","Nigeria/baseline/in_the_classroom15.png","Nigeria/positive/in_the_classroom15.png","Nigeria/contrastive/in_the_classroom15.png","15"
"Student studying in the classroom, in Nigeria","Nigeria/genericSD/in_the_classroom3.png","Nigeria/baseline/in_the_classroom3.png","Nigeria/positive/in_the_classroom3.png","Nigeria/contrastive/in_the_classroom3.png","3"
"Student studying in the classroom, in Nigeria","Nigeria/genericSD/in_the_classroom5.png","Nigeria/baseline/in_the_classroom5.png","Nigeria/positive/in_the_classroom5.png","Nigeria/contrastive/in_the_classroom5.png","5"
"Student studying in the classroom, in Nigeria","Nigeria/genericSD/in_the_classroom7.png","Nigeria/baseline/in_the_classroom7.png","Nigeria/positive/in_the_classroom7.png","Nigeria/contrastive/in_the_classroom7.png","7"
"Nigerian people walking on the street","Nigeria/genericSD/on_the_street0.png","Nigeria/baseline/on_the_street0.png","Nigeria/positive/on_the_street0.png","Nigeria/contrastive/on_the_street0.png","0"
"Nigerian people walking on the street","Nigeria/genericSD/on_the_street1.png","Nigeria/baseline/on_the_street1.png","Nigeria/positive/on_the_street1.png","Nigeria/contrastive/on_the_street1.png","1"
"Nigerian people walking on the street","Nigeria/genericSD/on_the_street11.png","Nigeria/baseline/on_the_street11.png","Nigeria/positive/on_the_street11.png","Nigeria/contrastive/on_the_street11.png","11"
"Nigerian people walking on the street","Nigeria/genericSD/on_the_street14.png","Nigeria/baseline/on_the_street14.png","Nigeria/positive/on_the_street14.png","Nigeria/contrastive/on_the_street14.png","14"
"Nigerian people walking on the street","Nigeria/genericSD/on_the_street18.png","Nigeria/baseline/on_the_street18.png","Nigeria/positive/on_the_street18.png","Nigeria/contrastive/on_the_street18.png","18"
"Nigerian people walking on the street","Nigeria/genericSD/on_the_street7.png","Nigeria/baseline/on_the_street7.png","Nigeria/positive/on_the_street7.png","Nigeria/contrastive/on_the_street7.png","7"
"Photo of a street, in Nigeria","Nigeria/genericSD/street_in_Nigeria0.png","Nigeria/baseline/street_in_Nigeria0.png","Nigeria/positive/street_in_Nigeria0.png","Nigeria/contrastive/street_in_Nigeria0.png","0"
"Photo of a street, in Nigeria","Nigeria/genericSD/street_in_Nigeria10.png","Nigeria/baseline/street_in_Nigeria10.png","Nigeria/positive/street_in_Nigeria10.png","Nigeria/contrastive/street_in_Nigeria10.png","10"
"Photo of a street, in Nigeria","Nigeria/genericSD/street_in_Nigeria4.png","Nigeria/baseline/street_in_Nigeria4.png","Nigeria/positive/street_in_Nigeria4.png","Nigeria/contrastive/street_in_Nigeria4.png","4"
"Photo of a street, in Nigeria","Nigeria/genericSD/street_in_Nigeria6.png","Nigeria/baseline/street_in_Nigeria6.png","Nigeria/positive/street_in_Nigeria6.png","Nigeria/contrastive/street_in_Nigeria6.png","6"
"Photo of a street, in Nigeria","Nigeria/genericSD/street_in_Nigeria9.png","Nigeria/baseline/street_in_Nigeria9.png","Nigeria/positive/street_in_Nigeria9.png","Nigeria/contrastive/street_in_Nigeria9.png","9"
"Musicians are practicing together, in Nigeria","Nigeria/genericSD/together_in_Nigeria61771.png","Nigeria/baseline/together_in_Nigeria61771.png","Nigeria/positive/together_in_Nigeria61771.png","Nigeria/contrastive/together_in_Nigeria61771.png","61771"
"Musicians are practicing together, in Nigeria","Nigeria/genericSD/together_in_Nigeria8288.png","Nigeria/baseline/together_in_Nigeria8288.png","Nigeria/positive/together_in_Nigeria8288.png","Nigeria/contrastive/together_in_Nigeria8288.png","8288"
"Musicians are practicing together, in Nigeria","Nigeria/genericSD/together_in_Nigeria9678.png","Nigeria/baseline/together_in_Nigeria9678.png","Nigeria/positive/together_in_Nigeria9678.png","Nigeria/contrastive/together_in_Nigeria9678.png","9678"
"Musicians are practicing Nigeria traditional Instrument together","Nigeria/genericSD/traditional_Instrument_together144.png","Nigeria/baseline/traditional_Instrument_together144.png","Nigeria/positive/traditional_Instrument_together144.png","Nigeria/contrastive/traditional_Instrument_together144.png","144"
"Musicians are practicing Nigeria traditional Instrument together","Nigeria/genericSD/traditional_Instrument_together74.png","Nigeria/baseline/traditional_Instrument_together74.png","Nigeria/positive/traditional_Instrument_together74.png","Nigeria/contrastive/traditional_Instrument_together74.png","74"
"Musicians are practicing Nigeria traditional Instrument together","Nigeria/genericSD/traditional_Instrument_together7705.png","Nigeria/baseline/traditional_Instrument_together7705.png","Nigeria/positive/traditional_Instrument_together7705.png","Nigeria/contrastive/traditional_Instrument_together7705.png","7705"
