prompt,seed,Generic Stable Diffusion,Pure Finetune,Positive,Contrastive
"People walking on the street, in Mexico",15738,Mexico/genericSD/street_in_Mexico15738.png,Mexico/baseline/street_in_Mexico15738.png,Mexico/positive/street_in_Mexico15738.png,Mexico/contrastive/street_in_Mexico15738.png
"People walking on the street, in Mexico",43448,Mexico/genericSD/street_in_Mexico43448.png,Mexico/baseline/street_in_Mexico43448.png,Mexico/positive/street_in_Mexico43448.png,Mexico/contrastive/street_in_Mexico43448.png
"People walking on the street, in Mexico",74,Mexico/genericSD/street_in_Mexico74.png,Mexico/baseline/street_in_Mexico74.png,Mexico/positive/street_in_Mexico74.png,Mexico/contrastive/street_in_Mexico74.png
"University student studying, in Mexico",12345,Mexico/genericSD/studying_in_Mexico12345.png,Mexico/baseline/studying_in_Mexico12345.png,Mexico/positive/studying_in_Mexico12345.png,Mexico/contrastive/studying_in_Mexico12345.png
"University student studying, in Mexico",14763,Mexico/genericSD/studying_in_Mexico14763.png,Mexico/baseline/studying_in_Mexico14763.png,Mexico/positive/studying_in_Mexico14763.png,Mexico/contrastive/studying_in_Mexico14763.png
"University student studying, in Mexico",21001,Mexico/genericSD/studying_in_Mexico21001.png,Mexico/baseline/studying_in_Mexico21001.png,Mexico/positive/studying_in_Mexico21001.png,Mexico/contrastive/studying_in_Mexico21001.png
"University student studying, in Mexico",528,Mexico/genericSD/studying_in_Mexico528.png,Mexico/baseline/studying_in_Mexico528.png,Mexico/positive/studying_in_Mexico528.png,Mexico/contrastive/studying_in_Mexico528.png
"University student studying, in Mexico",98,Mexico/genericSD/studying_in_Mexico98.png,Mexico/baseline/studying_in_Mexico98.png,Mexico/positive/studying_in_Mexico98.png,Mexico/contrastive/studying_in_Mexico98.png
"A woman is painting in a traditional style, in Mexico",15738,Mexico/genericSD/style_in_Mexico15738.png,Mexico/baseline/style_in_Mexico15738.png,Mexico/positive/style_in_Mexico15738.png,Mexico/contrastive/style_in_Mexico15738.png
"A woman is painting in a traditional style, in Mexico",29105,Mexico/genericSD/style_in_Mexico29105.png,Mexico/baseline/style_in_Mexico29105.png,Mexico/positive/style_in_Mexico29105.png,Mexico/contrastive/style_in_Mexico29105.png
"A woman is painting in a traditional style, in Mexico",48123,Mexico/genericSD/style_in_Mexico48123.png,Mexico/baseline/style_in_Mexico48123.png,Mexico/positive/style_in_Mexico48123.png,Mexico/contrastive/style_in_Mexico48123.png
"A woman is painting in a traditional style, in Mexico",60861,Mexico/genericSD/style_in_Mexico60861.png,Mexico/baseline/style_in_Mexico60861.png,Mexico/positive/style_in_Mexico60861.png,Mexico/contrastive/style_in_Mexico60861.png
"A woman is painting in a traditional style, in Mexico",64011,Mexico/genericSD/style_in_Mexico64011.png,Mexico/baseline/style_in_Mexico64011.png,Mexico/positive/style_in_Mexico64011.png,Mexico/contrastive/style_in_Mexico64011.png
"Family is eating together, in Mexico",14763,Mexico/genericSD/together_in_Mexico14763.png,Mexico/baseline/together_in_Mexico14763.png,Mexico/positive/together_in_Mexico14763.png,Mexico/contrastive/together_in_Mexico14763.png
"Family is eating together, in Mexico",54563,Mexico/genericSD/together_in_Mexico54563.png,Mexico/baseline/together_in_Mexico54563.png,Mexico/positive/together_in_Mexico54563.png,Mexico/contrastive/together_in_Mexico54563.png
"Family is eating together, in Mexico",58470,Mexico/genericSD/together_in_Mexico58470.png,Mexico/baseline/together_in_Mexico58470.png,Mexico/positive/together_in_Mexico58470.png,Mexico/contrastive/together_in_Mexico58470.png
"Family is eating together, in Mexico",60861,Mexico/genericSD/together_in_Mexico60861.png,Mexico/baseline/together_in_Mexico60861.png,Mexico/positive/together_in_Mexico60861.png,Mexico/contrastive/together_in_Mexico60861.png
"Family is eating together, in Mexico",98,Mexico/genericSD/together_in_Mexico98.png,Mexico/baseline/together_in_Mexico98.png,Mexico/positive/together_in_Mexico98.png,Mexico/contrastive/together_in_Mexico98.png
"People performing traditional music instrument, in Mexico",15738,Mexico/genericSD/traditional_music_instrument15738.png,Mexico/baseline/traditional_music_instrument15738.png,Mexico/positive/traditional_music_instrument15738.png,Mexico/contrastive/traditional_music_instrument15738.png
"People performing traditional music instrument, in Mexico",21001,Mexico/genericSD/traditional_music_instrument21001.png,Mexico/baseline/traditional_music_instrument21001.png,Mexico/positive/traditional_music_instrument21001.png,Mexico/contrastive/traditional_music_instrument21001.png
"People performing traditional music instrument, in Mexico",48232,Mexico/genericSD/traditional_music_instrument48232.png,Mexico/baseline/traditional_music_instrument48232.png,Mexico/positive/traditional_music_instrument48232.png,Mexico/contrastive/traditional_music_instrument48232.png
"People performing traditional music instrument, in Mexico",528,Mexico/genericSD/traditional_music_instrument528.png,Mexico/baseline/traditional_music_instrument528.png,Mexico/positive/traditional_music_instrument528.png,Mexico/contrastive/traditional_music_instrument528.png
"People performing traditional music instrument, in Mexico",58470,Mexico/genericSD/traditional_music_instrument58470.png,Mexico/baseline/traditional_music_instrument58470.png,Mexico/positive/traditional_music_instrument58470.png,Mexico/contrastive/traditional_music_instrument58470.png
"People performing traditional music instrument, in Mexico",74,Mexico/genericSD/traditional_music_instrument74.png,Mexico/baseline/traditional_music_instrument74.png,Mexico/positive/traditional_music_instrument74.png,Mexico/contrastive/traditional_music_instrument74.png
