"prompt","seed","Generic Stable Diffusion","Pure Finetune","Positive","Contrastive"
"Musicians are practicing traditional instrument together, in India","48232","India/genericSD/instrument_in_India48232.png","India/baseline/instrument_in_India48232.png","India/positive/instrument_in_India48232.png","India/contrastive/instrument_in_India48232.png"
"Musicians are practicing traditional instrument together, in India","54563","India/genericSD/instrument_in_India54563.png","India/baseline/instrument_in_India54563.png","India/positive/instrument_in_India54563.png","India/contrastive/instrument_in_India54563.png"
"Photo of a living room, in India","21001","India/genericSD/room_in_India21001.png","India/baseline/room_in_India21001.png","India/positive/room_in_India21001.png","India/contrastive/room_in_India21001.png"
"Photo of a living room, in India","54563","India/genericSD/room_in_India54563.png","India/baseline/room_in_India54563.png","India/positive/room_in_India54563.png","India/contrastive/room_in_India54563.png"
"Photo of a living room, in India","5594","India/genericSD/room_in_India5594.png","India/baseline/room_in_India5594.png","India/positive/room_in_India5594.png","India/contrastive/room_in_India5594.png"
"Photo of a street, in India","1024","India/genericSD/street_in_India1024.png","India/baseline/street_in_India1024.png","India/positive/street_in_India1024.png","India/contrastive/street_in_India1024.png"
"Photo of a street, in India","43448","India/genericSD/street_in_India43448.png","India/baseline/street_in_India43448.png","India/positive/street_in_India43448.png","India/contrastive/street_in_India43448.png"
"Photo of a street, in India","44333","India/genericSD/street_in_India44333.png","India/baseline/street_in_India44333.png","India/positive/street_in_India44333.png","India/contrastive/street_in_India44333.png"
"Photo of a street, in India","48232","India/genericSD/street_in_India48232.png","India/baseline/street_in_India48232.png","India/positive/street_in_India48232.png","India/contrastive/street_in_India48232.png"
"Photo of a street, in India","61741","India/genericSD/street_in_India61741.png","India/baseline/street_in_India61741.png","India/positive/street_in_India61741.png","India/contrastive/street_in_India61741.png"
"A woman is painting in a traditional style, in India","15738","India/genericSD/style_in_India15738.png","India/baseline/style_in_India15738.png","India/positive/style_in_India15738.png","India/contrastive/style_in_India15738.png"
"A woman is painting in a traditional style, in India","21001","India/genericSD/style_in_India21001.png","India/baseline/style_in_India21001.png","India/positive/style_in_India21001.png","India/contrastive/style_in_India21001.png"
"A woman is painting in a traditional style, in India","29105","India/genericSD/style_in_India29105.png","India/baseline/style_in_India29105.png","India/positive/style_in_India29105.png","India/contrastive/style_in_India29105.png"
"A woman is painting in a traditional style, in India","60861","India/genericSD/style_in_India60861.png","India/baseline/style_in_India60861.png","India/positive/style_in_India60861.png","India/contrastive/style_in_India60861.png"
"A woman is painting in a traditional style, in India","98","India/genericSD/style_in_India98.png","India/baseline/style_in_India98.png","India/positive/style_in_India98.png","India/contrastive/style_in_India98.png"
"Family is eating together, in India","14763","India/genericSD/together_in_India14763.png","India/baseline/together_in_India14763.png","India/positive/together_in_India14763.png","India/contrastive/together_in_India14763.png"
"Family is eating together, in India","48123","India/genericSD/together_in_India48123.png","India/baseline/together_in_India48123.png","India/positive/together_in_India48123.png","India/contrastive/together_in_India48123.png"
"Family is eating together, in India","48232","India/genericSD/together_in_India48232.png","India/baseline/together_in_India48232.png","India/positive/together_in_India48232.png","India/contrastive/together_in_India48232.png"
"Family is eating together, in India","60861","India/genericSD/together_in_India60861.png","India/baseline/together_in_India60861.png","India/positive/together_in_India60861.png","India/contrastive/together_in_India60861.png"
"Family is eating together, in India","98","India/genericSD/together_in_India98.png","India/baseline/together_in_India98.png","India/positive/together_in_India98.png","India/contrastive/together_in_India98.png"
