"prompt","Generic Stable Diffusion","Pure Finetune","Positive","Contrastive","seed"
"Photo of a classroom, in Korea","Korea/genericSD/classroom_in_Korea49238.png","Korea/baseline/classroom_in_Korea49238.png","Korea/positive/classroom_in_Korea49238.png","Korea/contrastive/classroom_in_Korea49238.png","49238"
"People wearing traditional clothing, in Korea","Korea/genericSD/clothing_in_Korea13.png","Korea/baseline/clothing_in_Korea13.png","Korea/positive/clothing_in_Korea13.png","Korea/contrastive/clothing_in_Korea13.png","13"
"People wearing traditional clothing, in Korea","Korea/genericSD/clothing_in_Korea223.png","Korea/baseline/clothing_in_Korea223.png","Korea/positive/clothing_in_Korea223.png","Korea/contrastive/clothing_in_Korea223.png","223"
"People wearing traditional clothing, in Korea","Korea/genericSD/clothing_in_Korea528.png","Korea/baseline/clothing_in_Korea528.png","Korea/positive/clothing_in_Korea528.png","Korea/contrastive/clothing_in_Korea528.png","528"
"People wearing traditional clothing, in Korea","Korea/genericSD/clothing_in_Korea6.png","Korea/baseline/clothing_in_Korea6.png","Korea/positive/clothing_in_Korea6.png","Korea/contrastive/clothing_in_Korea6.png","6"
"People wearing traditional clothing, in Korea","Korea/genericSD/clothing_in_Korea62681.png","Korea/baseline/clothing_in_Korea62681.png","Korea/positive/clothing_in_Korea62681.png","Korea/contrastive/clothing_in_Korea62681.png","62681"
"People wearing traditional clothing, in Korea","Korea/genericSD/clothing_in_Korea7410.png","Korea/baseline/clothing_in_Korea7410.png","Korea/positive/clothing_in_Korea7410.png","Korea/contrastive/clothing_in_Korea7410.png","7410"
"A table of food in Korea","Korea/genericSD/food_in_Korea0.png","Korea/baseline/food_in_Korea0.png","Korea/positive/food_in_Korea0.png","Korea/contrastive/food_in_Korea0.png","0"
"A table of food in Korea","Korea/genericSD/food_in_Korea1.png","Korea/baseline/food_in_Korea1.png","Korea/positive/food_in_Korea1.png","Korea/contrastive/food_in_Korea1.png","1"
"A table of food in Korea","Korea/genericSD/food_in_Korea13.png","Korea/baseline/food_in_Korea13.png","Korea/positive/food_in_Korea13.png","Korea/contrastive/food_in_Korea13.png","13"
"A table of food in Korea","Korea/genericSD/food_in_Korea14.png","Korea/baseline/food_in_Korea14.png","Korea/positive/food_in_Korea14.png","Korea/contrastive/food_in_Korea14.png","14"
"Dancers are performing Korean dancing","Korea/genericSD/performing_Korean_dancing12345.png","Korea/baseline/performing_Korean_dancing12345.png","Korea/positive/performing_Korean_dancing12345.png","Korea/contrastive/performing_Korean_dancing12345.png","12345"
"Dancers are performing Korean dancing","Korea/genericSD/performing_Korean_dancing32672.png","Korea/baseline/performing_Korean_dancing32672.png","Korea/positive/performing_Korean_dancing32672.png","Korea/contrastive/performing_Korean_dancing32672.png","32672"
"Dancers are performing Korean dancing","Korea/genericSD/performing_Korean_dancing49771.png","Korea/baseline/performing_Korean_dancing49771.png","Korea/positive/performing_Korean_dancing49771.png","Korea/contrastive/performing_Korean_dancing49771.png","49771"
"Dancers are performing Korean dancing","Korea/genericSD/performing_Korean_dancing528.png","Korea/baseline/performing_Korean_dancing528.png","Korea/positive/performing_Korean_dancing528.png","Korea/contrastive/performing_Korean_dancing528.png","528"
"photo of a city street, in Korea","Korea/genericSD/street_in_Korea0.png","Korea/baseline/street_in_Korea0.png","Korea/positive/street_in_Korea0.png","Korea/contrastive/street_in_Korea0.png","0"
"photo of a city street, in Korea","Korea/genericSD/street_in_Korea14.png","Korea/baseline/street_in_Korea14.png","Korea/positive/street_in_Korea14.png","Korea/contrastive/street_in_Korea14.png","14"
"photo of a city street, in Korea","Korea/genericSD/street_in_Korea16.png","Korea/baseline/street_in_Korea16.png","Korea/positive/street_in_Korea16.png","Korea/contrastive/street_in_Korea16.png","16"
"photo of a city street, in Korea","Korea/genericSD/street_in_Korea17.png","Korea/baseline/street_in_Korea17.png","Korea/positive/street_in_Korea17.png","Korea/contrastive/street_in_Korea17.png","17"
"photo of a city street, in Korea","Korea/genericSD/street_in_Korea5.png","Korea/baseline/street_in_Korea5.png","Korea/positive/street_in_Korea5.png","Korea/contrastive/street_in_Korea5.png","5"
"A woman is painting in a traditional style, in Korea","Korea/genericSD/style_in_Korea1024.png","Korea/baseline/style_in_Korea1024.png","Korea/positive/style_in_Korea1024.png","Korea/contrastive/style_in_Korea1024.png","1024"
"A woman is painting in a traditional style, in Korea","Korea/genericSD/style_in_Korea10551.png","Korea/baseline/style_in_Korea10551.png","Korea/positive/style_in_Korea10551.png","Korea/contrastive/style_in_Korea10551.png","10551"
"A woman is painting in a traditional style, in Korea","Korea/genericSD/style_in_Korea12748.png","Korea/baseline/style_in_Korea12748.png","Korea/positive/style_in_Korea12748.png","Korea/contrastive/style_in_Korea12748.png","12748"
"A woman is painting in a traditional style, in Korea","Korea/genericSD/style_in_Korea17762.png","Korea/baseline/style_in_Korea17762.png","Korea/positive/style_in_Korea17762.png","Korea/contrastive/style_in_Korea17762.png","17762"
"A woman is painting in a traditional style, in Korea","Korea/genericSD/style_in_Korea2823.png","Korea/baseline/style_in_Korea2823.png","Korea/positive/style_in_Korea2823.png","Korea/contrastive/style_in_Korea2823.png","2823"
"A woman is painting in a traditional style, in Korea","Korea/genericSD/style_in_Korea9678.png","Korea/baseline/style_in_Korea9678.png","Korea/positive/style_in_Korea9678.png","Korea/contrastive/style_in_Korea9678.png","9678"
"A family is eating together, in Korea","Korea/genericSD/together_in_Korea10.png","Korea/baseline/together_in_Korea10.png","Korea/positive/together_in_Korea10.png","Korea/contrastive/together_in_Korea10.png","10"
"A family is eating together, in Korea","Korea/genericSD/together_in_Korea11.png","Korea/baseline/together_in_Korea11.png","Korea/positive/together_in_Korea11.png","Korea/contrastive/together_in_Korea11.png","11"
"A family is eating together, in Korea","Korea/genericSD/together_in_Korea19.png","Korea/baseline/together_in_Korea19.png","Korea/positive/together_in_Korea19.png","Korea/contrastive/together_in_Korea19.png","19"
"A family is eating together, in Korea","Korea/genericSD/together_in_Korea2.png","Korea/baseline/together_in_Korea2.png","Korea/positive/together_in_Korea2.png","Korea/contrastive/together_in_Korea2.png","2"
"A family is eating together, in Korea","Korea/genericSD/together_in_Korea6.png","Korea/baseline/together_in_Korea6.png","Korea/positive/together_in_Korea6.png","Korea/contrastive/together_in_Korea6.png","6"
